"","long","lat","order","hole","piece","group","id"
"5541",-85.0191650390625,66.0572071075439,6694,FALSE,"386","CAN.386","CAN"
"5542",-85.149169921875,66.0505390167236,6695,FALSE,"386","CAN.386","CAN"
"5543",-85.0997314453125,66.0897083282471,6696,FALSE,"386","CAN.386","CAN"
"5544",-85.0191650390625,66.0572071075439,6697,FALSE,"386","CAN.386","CAN"
"5545",-66.3683319091797,62.8352680206299,6698,FALSE,"387","CAN.387","CAN"
"5546",-66.6016693115234,62.9066562652588,6699,FALSE,"387","CAN.387","CAN"
"5547",-66.5477752685547,62.9105472564697,6700,FALSE,"387","CAN.387","CAN"
"5548",-66.3683319091797,62.8352680206299,6701,FALSE,"387","CAN.387","CAN"
"5549",-84.8080444335938,68.7638874053955,6702,TRUE,"388","CAN.388","CAN"
"5550",-84.8558349609375,68.8108081817627,6703,TRUE,"388","CAN.388","CAN"
"5551",-84.9391632080078,68.7935962677002,6704,TRUE,"388","CAN.388","CAN"
"5552",-84.8080444335938,68.7638874053955,6705,TRUE,"388","CAN.388","CAN"
"5553",-98.6572265625,74.2994251251221,6706,FALSE,"389","CAN.389","CAN"
"5554",-98.8647155761719,74.3047046661377,6707,FALSE,"389","CAN.389","CAN"
"5555",-98.5111236572266,74.3183307647705,6708,FALSE,"389","CAN.389","CAN"
"5556",-98.6572265625,74.2994251251221,6709,FALSE,"389","CAN.389","CAN"
"5557",-72.6677703857422,63.6958255767822,6710,FALSE,"390","CAN.390","CAN"
"5558",-72.7197265625,63.7638874053955,6711,FALSE,"390","CAN.390","CAN"
"5559",-72.6266632080078,63.7322101593018,6712,FALSE,"390","CAN.390","CAN"
"5560",-72.6677703857422,63.6958255767822,6713,FALSE,"390","CAN.390","CAN"
"5561",-109.066101074219,76.9005451202393,6714,FALSE,"391","CAN.391","CAN"
"5562",-109.307769775391,76.9280414581299,6715,FALSE,"391","CAN.391","CAN"
"5563",-109.179443359375,76.9324817657471,6716,FALSE,"391","CAN.391","CAN"
"5564",-109.066101074219,76.9005451202393,6717,FALSE,"391","CAN.391","CAN"
"5565",-107.388900756836,68.172212600708,6718,FALSE,"392","CAN.392","CAN"
"5566",-107.445266723633,68.2016620635986,6719,FALSE,"392","CAN.392","CAN"
"5567",-107.29167175293,68.2027759552002,6720,FALSE,"392","CAN.392","CAN"
"5568",-107.388900756836,68.172212600708,6721,FALSE,"392","CAN.392","CAN"
"5569",-56.8672180175781,53.7650012969971,6722,FALSE,"393","CAN.393","CAN"
"5570",-57.0144500732422,53.7855548858643,6723,FALSE,"393","CAN.393","CAN"
"5571",-56.8444442749023,53.7924976348877,6724,FALSE,"393","CAN.393","CAN"
"5572",-56.8672180175781,53.7650012969971,6725,FALSE,"393","CAN.393","CAN"
"5573",-96.7605590820312,69.5455341339111,6726,FALSE,"394","CAN.394","CAN"
"5574",-96.8838958740234,69.5591449737549,6727,FALSE,"394","CAN.394","CAN"
"5575",-96.9022216796875,69.5977649688721,6728,FALSE,"394","CAN.394","CAN"
"5576",-96.7605590820312,69.5455341339111,6729,FALSE,"394","CAN.394","CAN"
"5577",-130.355560302734,54.257776260376,6730,FALSE,"395","CAN.395","CAN"
"5578",-130.467224121094,54.3086032867432,6731,FALSE,"395","CAN.395","CAN"
"5579",-130.417785644531,54.3263874053955,6732,FALSE,"395","CAN.395","CAN"
"5580",-130.355560302734,54.257776260376,6733,FALSE,"395","CAN.395","CAN"
"5581",-108.510559082031,72.6027698516846,6734,FALSE,"396","CAN.396","CAN"
"5582",-108.613616943359,72.6366596221924,6735,FALSE,"396","CAN.396","CAN"
"5583",-108.496658325195,72.6413745880127,6736,FALSE,"396","CAN.396","CAN"
"5584",-108.510559082031,72.6027698516846,6737,FALSE,"396","CAN.396","CAN"
"5585",-92.9541778564453,63.8711032867432,6738,FALSE,"397","CAN.397","CAN"
"5586",-93.0944519042969,63.904993057251,6739,FALSE,"397","CAN.397","CAN"
"5587",-92.9783325195312,63.9083271026611,6740,FALSE,"397","CAN.397","CAN"
"5588",-92.9541778564453,63.8711032867432,6741,FALSE,"397","CAN.397","CAN"
"5589",-109.112213134766,67.7633228302002,6742,FALSE,"398","CAN.398","CAN"
"5590",-109.207778930664,67.7838764190674,6743,FALSE,"398","CAN.398","CAN"
"5591",-109.039169311523,67.7933216094971,6744,FALSE,"398","CAN.398","CAN"
"5592",-109.112213134766,67.7633228302002,6745,FALSE,"398","CAN.398","CAN"
"5593",-90.6538848876953,63.4411029815674,6746,FALSE,"399","CAN.399","CAN"
"5594",-90.7572326660156,63.4944400787354,6747,FALSE,"399","CAN.399","CAN"
"5595",-90.5980529785156,63.454439163208,6748,FALSE,"399","CAN.399","CAN"
"5596",-90.6538848876953,63.4411029815674,6749,FALSE,"399","CAN.399","CAN"
"5597",-113.390289306641,67.8977680206299,6750,FALSE,"400","CAN.400","CAN"
"5598",-113.603332519531,67.9030475616455,6751,FALSE,"400","CAN.400","CAN"
"5599",-113.246948242188,67.9144306182861,6752,FALSE,"400","CAN.400","CAN"
"5600",-113.390289306641,67.8977680206299,6753,FALSE,"400","CAN.400","CAN"
"5601",-110.862503051758,68.4741535186768,6754,FALSE,"401","CAN.401","CAN"
"5602",-111.097503662109,68.482759475708,6755,FALSE,"401","CAN.401","CAN"
"5603",-110.696113586426,68.4863758087158,6756,FALSE,"401","CAN.401","CAN"
"5604",-110.862503051758,68.4741535186768,6757,FALSE,"401","CAN.401","CAN"
"5605",-65.6136169433594,43.4202747344971,6758,FALSE,"402","CAN.402","CAN"
"5606",-65.633056640625,43.4747104644775,6759,FALSE,"402","CAN.402","CAN"
"5607",-65.5661010742188,43.5083332061768,6760,FALSE,"402","CAN.402","CAN"
"5608",-65.6136169433594,43.4202747344971,6761,FALSE,"402","CAN.402","CAN"
"5609",-130.149749755859,53.9891605377197,6762,FALSE,"403","CAN.403","CAN"
"5610",-130.193603515625,54.0797214508057,6763,FALSE,"403","CAN.403","CAN"
"5611",-130.132476806641,54.0499973297119,6764,FALSE,"403","CAN.403","CAN"
"5612",-130.149749755859,53.9891605377197,6765,FALSE,"403","CAN.403","CAN"
"5613",-103.350830078125,70.6871967315674,6766,FALSE,"404","CAN.404","CAN"
"5614",-103.462783813477,70.7322101593018,6767,FALSE,"404","CAN.404","CAN"
"5615",-103.341110229492,70.7202625274658,6768,FALSE,"404","CAN.404","CAN"
"5616",-103.350830078125,70.6871967315674,6769,FALSE,"404","CAN.404","CAN"
"5617",-75.5513916015625,64.3038654327393,6770,FALSE,"405","CAN.405","CAN"
"5618",-75.7058410644531,64.3419361114502,6771,FALSE,"405","CAN.405","CAN"
"5619",-75.4936065673828,64.3163776397705,6772,FALSE,"405","CAN.405","CAN"
"5620",-75.5513916015625,64.3038654327393,6773,FALSE,"405","CAN.405","CAN"
"5621",-124.430557250977,73.8785877227783,6774,FALSE,"406","CAN.406","CAN"
"5622",-124.552780151367,73.9169330596924,6775,FALSE,"406","CAN.406","CAN"
"5623",-124.420272827148,73.9091510772705,6776,FALSE,"406","CAN.406","CAN"
"5624",-124.430557250977,73.8785877227783,6777,FALSE,"406","CAN.406","CAN"
"5625",-58.5183334350586,54.0516605377197,6778,FALSE,"407","CAN.407","CAN"
"5626",-58.5613861083984,54.0638828277588,6779,FALSE,"407","CAN.407","CAN"
"5627",-58.3738861083984,54.1041660308838,6780,FALSE,"407","CAN.407","CAN"
"5628",-58.5183334350586,54.0516605377197,6781,FALSE,"407","CAN.407","CAN"
"5629",-64.5202789306641,64.2202625274658,6782,FALSE,"408","CAN.408","CAN"
"5630",-64.6477813720703,64.2500019073486,6783,FALSE,"408","CAN.408","CAN"
"5631",-64.4622192382812,64.2374897003174,6784,FALSE,"408","CAN.408","CAN"
"5632",-64.5202789306641,64.2202625274658,6785,FALSE,"408","CAN.408","CAN"
"5633",-64.6899871826172,60.584436416626,6786,FALSE,"409","CAN.409","CAN"
