"Source Url","Url","Column 4","Country","Us$"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Japan","#Rank:28","#Country:Japan","#Us$:38,528"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Hong_Kong","#Rank:—","#Country:Hong Kong","#Us$:38,039"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/New_Caledonia","#Rank:—","#Country:New Caledonia","#Us$:37,862"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Israel","#Rank:29","#Country:Israel","#Us$:37,704"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Italy","#Rank:30","#Country:Italy","#Us$:35,243"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/European_Union","#Rank:—","#Country:European Union","#Us$:32,507"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/British_Virgin_Islands","#Rank:—","#Country:Virgin Islands, British","#Us$:32,307"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Spain","#Rank:31","#Country:Spain","#Us$:29,685"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Puerto_Rico","#Rank:—","#Country:Puerto Rico","#Us$:28,509"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Cyprus","#Rank:32","#Country:Cyprus","#Us$:27,662"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/South_Korea","#Rank:33","#Country:Korea, South","#Us$:26,482"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Saudi_Arabia","#Rank:34","#Country:Saudi Arabia","#Us$:25,962"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Aruba","#Rank:—","#Country:Aruba","#Us$:25,156"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Bahrain","#Rank:35","#Country:Bahrain","#Us$:24,695"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Equatorial_Guinea","#Rank:36","#Country:Equatorial Guinea","#Us$:24,480"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Malta","#Rank:37","#Country:Malta","#Us$:22,243"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/French_Polynesia","#Rank:—","#Country:French Polynesia","#Us$:23,162"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Slovenia","#Rank:38","#Country:Slovenia","#Us$:23,161"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/The_Bahamas","#Rank:39","#Country:Bahamas","#Us$:22,313"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Oman","#Rank:40","#Country:Oman","#Us$:21,929"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Greece","#Rank:41","#Country:Greece","#Us$:21,768"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Portugal","#Rank:42","#Country:Portugal","#Us$:21,429"
"#SourceUrl:https://en.wikipedia.org/wiki/List_of_countries_by_GDP_(nominal)_per_capita","#Url:https://en.wikipedia.org/wiki/Turks_and_Caicos_Islands","#Rank:—","#Country:Turks and Caicos Islands","#Us$:21,338"
